tickNum	node1	node2	node3	node4	node5	node6	node7	node8	node9	node10
1	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2	1.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1.00	0.00	0.33	0.00	0.33	0.00	0.00	0.00	0.33	0.00
4	0.75	0.25	0.50	0.00	0.25	0.25	0.00	0.25	0.50	0.00
5	0.80	0.20	0.40	0.20	0.40	0.40	0.00	0.40	0.60	0.20
6	0.83	0.33	0.50	0.17	0.50	0.33	0.00	0.50	0.50	0.33
7	0.86	0.43	0.57	0.29	0.57	0.43	0.00	0.43	0.57	0.43
8	0.88	0.50	0.50	0.38	0.62	0.50	0.12	0.50	0.62	0.50
9	0.78	0.56	0.56	0.44	0.67	0.44	0.22	0.56	0.67	0.56
10	0.80	0.50	0.50	0.50	0.70	0.50	0.30	0.60	0.70	0.60
11	0.73	0.55	0.55	0.45	0.73	0.45	0.36	0.64	0.73	0.64
12	0.75	0.50	0.50	0.50	0.67	0.50	0.33	0.58	0.75	0.67
13	0.77	0.54	0.54	0.46	0.69	0.46	0.38	0.62	0.77	0.62
14	0.79	0.57	0.50	0.50	0.71	0.50	0.43	0.57	0.79	0.64
15	0.80	0.60	0.53	0.53	0.73	0.47	0.47	0.60	0.80	0.67
16	0.81	0.62	0.50	0.56	0.75	0.50	0.50	0.62	0.75	0.69
17	0.82	0.65	0.53	0.59	0.76	0.47	0.53	0.65	0.76	0.71
18	0.83	0.67	0.50	0.61	0.78	0.50	0.56	0.67	0.78	0.72
19	0.79	0.68	0.53	0.63	0.79	0.47	0.58	0.68	0.79	0.74
20	0.80	0.65	0.50	0.65	0.80	0.50	0.60	0.70	0.80	0.75
21	0.76	0.67	0.52	0.62	0.81	0.48	0.62	0.71	0.81	0.76
22	0.77	0.64	0.55	0.64	0.82	0.50	0.64	0.68	0.82	0.77
23	0.74	0.65	0.57	0.61	0.83	0.52	0.65	0.70	0.83	0.78
24	0.75	0.62	0.58	0.62	0.83	0.54	0.67	0.67	0.79	0.79
25	0.76	0.64	0.60	0.60	0.84	0.56	0.64	0.68	0.80	0.80
26	0.73	0.65	0.62	0.62	0.81	0.58	0.65	0.65	0.81	0.81
27	0.74	0.63	0.63	0.63	0.81	0.59	0.67	0.67	0.81	0.78
28	0.75	0.64	0.61	0.61	0.79	0.61	0.68	0.68	0.82	0.79
29	0.76	0.66	0.62	0.62	0.79	0.59	0.69	0.66	0.83	0.76
30	0.73	0.67	0.63	0.63	0.77	0.60	0.70	0.67	0.83	0.73
31	0.74	0.65	0.61	0.65	0.77	0.61	0.71	0.68	0.84	0.74
32	0.75	0.66	0.62	0.62	0.78	0.59	0.72	0.69	0.81	0.75
33	0.76	0.67	0.64	0.64	0.79	0.61	0.73	0.67	0.82	0.76
34	0.76	0.68	0.62	0.65	0.79	0.62	0.74	0.68	0.82	0.76
35	0.77	0.69	0.63	0.66	0.80	0.60	0.74	0.69	0.80	0.77
36	0.78	0.69	0.61	0.67	0.81	0.61	0.75	0.69	0.81	0.78
37	0.78	0.70	0.62	0.68	0.78	0.59	0.76	0.70	0.78	0.78
38	0.79	0.71	0.63	0.68	0.79	0.61	0.76	0.71	0.79	0.76
39	0.79	0.72	0.64	0.69	0.79	0.62	0.77	0.72	0.79	0.77
40	0.80	0.72	0.65	0.70	0.80	0.62	0.78	0.72	0.80	0.78
41	0.80	0.73	0.66	0.71	0.80	0.63	0.78	0.73	0.80	0.78
42	0.81	0.74	0.67	0.71	0.81	0.64	0.79	0.74	0.81	0.79
43	0.81	0.74	0.67	0.72	0.81	0.65	0.79	0.74	0.81	0.79
44	0.82	0.75	0.68	0.73	0.82	0.66	0.80	0.75	0.82	0.80
45	0.82	0.76	0.67	0.73	0.82	0.67	0.78	0.76	0.82	0.80
46	0.83	0.76	0.67	0.74	0.83	0.65	0.78	0.76	0.83	0.80
47	0.83	0.77	0.66	0.74	0.83	0.66	0.79	0.77	0.83	0.81
48	0.83	0.77	0.67	0.75	0.83	0.65	0.79	0.77	0.83	0.81
49	0.84	0.78	0.67	0.76	0.84	0.65	0.78	0.78	0.82	0.82
50	0.84	0.78	0.66	0.76	0.84	0.66	0.76	0.78	0.82	0.82
51	0.84	0.78	0.67	0.76	0.84	0.65	0.76	0.78	0.82	0.82
52	0.83	0.79	0.67	0.77	0.85	0.65	0.75	0.79	0.83	0.83
53	0.83	0.77	0.68	0.77	0.85	0.66	0.75	0.79	0.83	0.83
54	0.81	0.78	0.69	0.76	0.83	0.67	0.76	0.80	0.83	0.83
55	0.82	0.76	0.69	0.76	0.84	0.67	0.76	0.78	0.84	0.82
56	0.82	0.77	0.70	0.75	0.84	0.68	0.77	0.79	0.84	0.80
57	0.81	0.77	0.70	0.75	0.84	0.68	0.75	0.77	0.84	0.81
58	0.81	0.76	0.71	0.76	0.84	0.69	0.76	0.78	0.84	0.81
59	0.81	0.76	0.71	0.75	0.85	0.69	0.76	0.78	0.85	0.81
60	0.80	0.77	0.72	0.75	0.85	0.70	0.77	0.77	0.83	0.82
61	0.80	0.75	0.72	0.75	0.84	0.70	0.77	0.77	0.84	0.82
62	0.81	0.76	0.71	0.74	0.84	0.71	0.77	0.77	0.84	0.81
63	0.81	0.76	0.71	0.75	0.84	0.70	0.78	0.76	0.84	0.81
64	0.80	0.77	0.72	0.75	0.83	0.70	0.78	0.77	0.84	0.81
65	0.80	0.75	0.72	0.75	0.83	0.71	0.78	0.77	0.85	0.80
66	0.80	0.76	0.73	0.74	0.82	0.71	0.79	0.77	0.85	0.80
67	0.79	0.76	0.73	0.75	0.82	0.72	0.79	0.76	0.85	0.79
68	0.79	0.75	0.74	0.75	0.81	0.72	0.78	0.76	0.84	0.78
69	0.80	0.75	0.74	0.74	0.81	0.72	0.77	0.77	0.84	0.78
70	0.80	0.76	0.74	0.74	0.81	0.73	0.77	0.76	0.84	0.79
71	0.80	0.76	0.75	0.75	0.80	0.73	0.76	0.76	0.85	0.79
72	0.79	0.76	0.75	0.75	0.81	0.74	0.76	0.76	0.85	0.78
73	0.79	0.75	0.75	0.75	0.81	0.74	0.77	0.77	0.84	0.78
74	0.78	0.76	0.74	0.74	0.80	0.74	0.77	0.77	0.84	0.78
75	0.79	0.75	0.75	0.75	0.80	0.73	0.77	0.76	0.84	0.77
76	0.78	0.75	0.75	0.74	0.80	0.74	0.78	0.76	0.84	0.76
77	0.78	0.74	0.75	0.74	0.81	0.74	0.78	0.75	0.83	0.77
78	0.77	0.74	0.76	0.73	0.81	0.74	0.78	0.76	0.83	0.77
79	0.77	0.73	0.76	0.73	0.81	0.75	0.78	0.75	0.82	0.77
80	0.78	0.74	0.76	0.72	0.81	0.75	0.79	0.75	0.82	0.78
81	0.78	0.74	0.75	0.73	0.81	0.75	0.79	0.74	0.83	0.78
82	0.78	0.74	0.76	0.73	0.82	0.74	0.79	0.74	0.82	0.78
83	0.78	0.75	0.75	0.73	0.82	0.75	0.80	0.75	0.82	0.78
84	0.79	0.75	0.75	0.74	0.82	0.74	0.80	0.75	0.82	0.79
85	0.79	0.75	0.74	0.74	0.82	0.74	0.80	0.75	0.82	0.79
86	0.79	0.76	0.74	0.74	0.83	0.73	0.79	0.76	0.81	0.79
87	0.78	0.76	0.75	0.75	0.83	0.74	0.78	0.76	0.82	0.79
88	0.78	0.75	0.75	0.75	0.83	0.74	0.78	0.76	0.81	0.80
89	0.78	0.75	0.75	0.74	0.82	0.74	0.79	0.76	0.81	0.80
90	0.78	0.74	0.76	0.74	0.82	0.74	0.79	0.76	0.81	0.79
91	0.78	0.75	0.76	0.74	0.82	0.75	0.79	0.76	0.81	0.78
92	0.78	0.75	0.76	0.74	0.82	0.75	0.79	0.75	0.82	0.78
93	0.78	0.75	0.75	0.74	0.82	0.75	0.80	0.75	0.81	0.77
94	0.79	0.76	0.76	0.74	0.82	0.74	0.80	0.76	0.81	0.78
95	0.78	0.76	0.76	0.75	0.81	0.75	0.80	0.76	0.81	0.78
96	0.78	0.75	0.76	0.75	0.81	0.75	0.80	0.76	0.81	0.77
97	0.78	0.75	0.76	0.74	0.80	0.75	0.80	0.76	0.81	0.77
98	0.78	0.76	0.77	0.74	0.81	0.76	0.81	0.76	0.82	0.77
99	0.78	0.75	0.77	0.75	0.80	0.76	0.80	0.76	0.81	0.76
100	0.78	0.75	0.77	0.74	0.80	0.76	0.79	0.76	0.81	0.76
101	0.78	0.75	0.77	0.74	0.80	0.76	0.79	0.75	0.81	0.76
102	0.78	0.75	0.77	0.75	0.80	0.76	0.79	0.75	0.80	0.76
103	0.79	0.76	0.78	0.75	0.81	0.77	0.80	0.76	0.81	0.77
104	0.79	0.76	0.78	0.75	0.81	0.77	0.80	0.76	0.81	0.77
105	0.79	0.76	0.77	0.75	0.81	0.77	0.79	0.76	0.81	0.77
106	0.79	0.76	0.77	0.75	0.81	0.76	0.79	0.76	0.81	0.77
107	0.79	0.77	0.78	0.76	0.81	0.77	0.79	0.77	0.81	0.78
108	0.79	0.76	0.78	0.76	0.81	0.77	0.79	0.77	0.81	0.78
109	0.78	0.76	0.78	0.75	0.81	0.77	0.79	0.77	0.82	0.78
110	0.78	0.75	0.78	0.75	0.81	0.77	0.79	0.76	0.82	0.77
111	0.78	0.76	0.77	0.75	0.80	0.77	0.79	0.77	0.82	0.77
112	0.79	0.76	0.78	0.75	0.80	0.77	0.79	0.76	0.81	0.77
113	0.79	0.76	0.78	0.75	0.81	0.76	0.80	0.76	0.81	0.76
114	0.79	0.76	0.78	0.75	0.81	0.75	0.80	0.76	0.82	0.76
115	0.79	0.77	0.78	0.76	0.81	0.75	0.80	0.77	0.82	0.77
116	0.79	0.77	0.78	0.76	0.81	0.74	0.80	0.77	0.82	0.77
117	0.79	0.77	0.79	0.76	0.81	0.74	0.80	0.77	0.82	0.77
118	0.80	0.77	0.78	0.76	0.81	0.74	0.80	0.77	0.82	0.77
119	0.80	0.77	0.78	0.76	0.82	0.73	0.80	0.77	0.82	0.77
120	0.80	0.78	0.78	0.77	0.82	0.73	0.80	0.78	0.82	0.78
121	0.80	0.78	0.78	0.77	0.81	0.74	0.80	0.78	0.82	0.78
122	0.80	0.78	0.78	0.77	0.81	0.73	0.80	0.78	0.81	0.77
123	0.80	0.78	0.77	0.77	0.80	0.73	0.80	0.78	0.81	0.77
124	0.80	0.78	0.77	0.77	0.81	0.73	0.80	0.78	0.81	0.77
125	0.80	0.78	0.78	0.78	0.80	0.73	0.79	0.78	0.81	0.77
126	0.80	0.78	0.78	0.77	0.80	0.73	0.79	0.79	0.81	0.76
127	0.80	0.78	0.78	0.77	0.80	0.73	0.80	0.78	0.81	0.76
128	0.80	0.78	0.77	0.77	0.80	0.73	0.80	0.78	0.81	0.76
129	0.81	0.78	0.78	0.78	0.79	0.73	0.80	0.78	0.81	0.76
130	0.81	0.78	0.78	0.78	0.79	0.73	0.79	0.78	0.81	0.75
131	0.81	0.79	0.77	0.78	0.79	0.73	0.79	0.79	0.81	0.76
132	0.81	0.79	0.77	0.78	0.80	0.73	0.79	0.79	0.81	0.76
133	0.80	0.79	0.77	0.78	0.80	0.73	0.79	0.79	0.81	0.76
134	0.81	0.78	0.78	0.78	0.80	0.73	0.78	0.79	0.81	0.76
135	0.80	0.79	0.78	0.78	0.79	0.73	0.79	0.79	0.81	0.76
136	0.80	0.78	0.78	0.78	0.79	0.74	0.79	0.79	0.82	0.76
137	0.80	0.78	0.78	0.77	0.80	0.74	0.79	0.79	0.82	0.75
138	0.80	0.78	0.78	0.78	0.79	0.74	0.79	0.78	0.82	0.75
139	0.81	0.78	0.78	0.78	0.79	0.74	0.79	0.78	0.82	0.75
140	0.80	0.79	0.79	0.78	0.79	0.74	0.79	0.79	0.82	0.75
141	0.80	0.78	0.79	0.78	0.79	0.74	0.79	0.79	0.82	0.75
142	0.80	0.78	0.79	0.77	0.79	0.75	0.79	0.79	0.82	0.75
143	0.80	0.78	0.79	0.78	0.79	0.75	0.78	0.78	0.83	0.75
